Date,Ticker,Close,Daily_Return
2020-01-02,AAPL,72.33390045166016,
2020-01-03,AAPL,71.63064575195312,-0.009722338976826062
2020-01-06,AAPL,72.201416015625,0.007968241214080019
2020-01-07,AAPL,71.86185455322266,-0.00470297510964135
2020-01-08,AAPL,73.017822265625,0.01608597105639964
2020-01-09,AAPL,74.56878662109375,0.02124090129429823
2020-01-10,AAPL,74.73735809326172,0.00226061707326064
2020-01-13,AAPL,76.33407592773438,0.021364386903804933
2020-01-14,AAPL,75.30332946777344,-0.013503097370782924
2020-01-15,AAPL,74.98060607910156,-0.004285645680646599
2020-01-16,AAPL,75.91986083984375,0.012526636017736514
2020-01-17,AAPL,76.7603759765625,0.011071083737783205
2020-01-21,AAPL,76.24016571044922,-0.006777067718794383
2020-01-22,AAPL,76.5123062133789,0.00356951615193557
2020-01-23,AAPL,76.88077545166016,0.004815816651162708
2020-01-24,AAPL,76.65921020507812,-0.002881933035669526
2020-01-27,AAPL,74.40502166748047,-0.029405319094304105
2020-01-28,AAPL,76.50990295410156,0.02828950572755562
2020-01-29,AAPL,78.11141204833984,0.020932049740005843
2020-01-30,AAPL,77.99824523925781,-0.001448787137684815
2020-01-31,AAPL,74.5398941040039,-0.04433883255508497
2020-02-03,AAPL,74.3351821899414,-0.0027463402856042762
2020-02-04,AAPL,76.78927612304688,0.03301389545040423
2020-02-05,AAPL,77.41543579101562,0.008154259287004972
2020-02-06,AAPL,78.3209457397461,0.011696762273287531
2020-02-07,AAPL,77.25637817382812,-0.013592373736847296
2020-02-10,AAPL,77.62329864501953,0.004749387427479768
2020-02-11,AAPL,77.15497589111328,-0.006033275602573163
2020-02-12,AAPL,78.98723602294922,0.02374778957123591
2020-02-13,AAPL,78.42476654052734,-0.007121017404108865
2020-02-14,AAPL,78.44406127929688,0.0002460286414696089
2020-02-18,AAPL,77.0077133178711,-0.01831047421565446
2020-02-19,AAPL,78.12301635742188,0.014483004253704523
2020-02-20,AAPL,77.32154846191406,-0.010259049546179844
2020-02-21,AAPL,75.57135772705078,-0.022635226139132048
2020-02-24,AAPL,71.98169708251953,-0.047500279900970055
2020-02-25,AAPL,69.54351806640625,-0.03387220800473989
2020-02-26,AAPL,70.64673614501953,0.01586370821159533
2020-02-27,AAPL,66.02869415283203,-0.06536808696594065
2020-02-28,AAPL,65.99005889892578,-0.0005851282446510675
2020-03-02,AAPL,72.13377380371094,0.093100612536128
2020-03-03,AAPL,69.84286499023438,-0.03175917039514031
2020-03-04,AAPL,73.08248901367188,0.04638446638594318
2020-03-05,AAPL,70.71190643310547,-0.03243708051764538
2020-03-06,AAPL,69.77286529541016,-0.01327981644199705
2020-03-09,AAPL,64.25437927246094,-0.07909215136263348
2020-03-10,AAPL,68.88207244873047,0.07202144396487742
2020-03-11,AAPL,66.48974609375,-0.034730754606158154
2020-03-12,AAPL,59.923580169677734,-0.0987545645732204
2020-03-13,AAPL,67.10292053222656,0.11980826816789047
2020-03-16,AAPL,58.47034454345703,-0.1286467998754791
2020-03-17,AAPL,61.04129409790039,0.04397014545608746
2020-03-18,AAPL,59.54700469970703,-0.02447997573244043
2020-03-19,AAPL,59.09074401855469,-0.007662193647745119
2020-03-20,AAPL,55.3393440246582,-0.06348540801446889
2020-03-23,AAPL,54.16370391845703,-0.021244200250681078
2020-03-24,AAPL,59.597686767578125,0.10032517084322579
2020-03-25,AAPL,59.26939392089844,-0.005508483038276002
2020-03-26,AAPL,62.388328552246094,0.05262302218764403
2020-03-27,AAPL,59.8053092956543,-0.041402283352224956
2020-03-30,AAPL,61.51203155517578,0.028537972290789693
2020-03-31,AAPL,61.38649368286133,-0.0020408669514003774
2020-04-01,AAPL,58.156517028808594,-0.05261705727549182
2020-04-02,AAPL,59.1269645690918,0.016686823590251754
2020-04-03,AAPL,58.277225494384766,-0.014371430715237943
2020-04-06,AAPL,63.361175537109375,0.0872373384215841
2020-04-07,AAPL,62.62730026245117,-0.011582412548965193
2020-04-08,AAPL,64.230224609375,0.025594658243393464
2020-04-09,AAPL,64.69373321533203,0.007216362838148527
2020-04-13,AAPL,65.9635009765625,0.01962736880563165
2020-04-14,AAPL,69.29486846923828,0.05050319409000825
2020-04-15,AAPL,68.66240692138672,-0.009127105106380706
2020-04-16,AAPL,69.20796966552734,0.007945581412041935
2020-04-17,AAPL,68.26891326904297,-0.013568616461698046
2020-04-20,AAPL,66.85189056396484,-0.020756485451785878
2020-04-21,AAPL,64.78544616699219,-0.030910784714389683
2020-04-22,AAPL,66.6514892578125,0.028803430418775866
2020-04-23,AAPL,66.39319610595703,-0.003875279528359421
2020-04-24,AAPL,68.3099365234375,0.02886953076368748
2020-04-27,AAPL,68.35823059082031,0.0007069845155871501
2020-04-28,AAPL,67.25016784667969,-0.01620964636684763
2020-04-29,AAPL,69.45903778076172,0.03284556759944346
2020-04-30,AAPL,70.9243392944336,0.021095908617348114
2020-05-01,AAPL,69.78251647949219,-0.016099167455071672
2020-05-04,AAPL,70.76985168457031,0.014148747492766178
2020-05-05,AAPL,71.83203887939453,0.015009035197057097
2020-05-06,AAPL,72.5731430053711,0.010317180711254315
2020-05-07,AAPL,73.32389831542969,0.010344809098360663
2020-05-08,AAPL,75.06913757324219,0.023801779473108686
2020-05-11,AAPL,76.2503662109375,0.015735209912899784
2020-05-12,AAPL,75.37895965576172,-0.011428227803721436
2020-05-13,AAPL,74.46883392333984,-0.01207400230221023
2020-05-14,AAPL,74.92630004882812,0.006143054770525902
2020-05-15,AAPL,74.48333740234375,-0.005911978119775063
2020-05-18,AAPL,76.23826599121094,0.023561358151655165
2020-05-19,AAPL,75.79773712158203,-0.00577831701575815
2020-05-20,AAPL,77.27184295654297,0.019447887112994167
2020-05-21,AAPL,76.69577026367188,-0.007455143695680566
2020-05-22,AAPL,77.18956756591797,0.006438390286041429
2020-05-26,AAPL,76.66669464111328,-0.006773880736644422
2020-05-27,AAPL,77.00074005126953,0.004357112455675383
2020-05-28,AAPL,77.03466033935547,0.0004405189880429816
2020-05-29,AAPL,76.9595947265625,-0.0009744394596183925
2020-06-01,AAPL,77.90605926513672,0.0122982006588912
2020-06-02,AAPL,78.26667785644531,0.004628890162205579
2020-06-03,AAPL,78.69755554199219,0.0055052507318271715
2020-06-04,AAPL,78.01979064941406,-0.008612273760097655
2020-06-05,AAPL,80.24185943603516,0.028480835030769036
2020-06-08,AAPL,80.71630096435547,0.005912643745481949
2020-06-09,AAPL,83.26514434814453,0.03157780217052619
2020-06-10,AAPL,85.40738677978516,0.025727961542750366
2020-06-11,AAPL,81.30695343017578,-0.04801028932288909
2020-06-12,AAPL,82.00890350341797,0.008633333849422886
2020-06-15,AAPL,83.02311706542969,0.012367115260472294
2020-06-16,AAPL,85.2234115600586,0.026502190864441832
2020-06-17,AAPL,85.10480499267578,-0.0013917134413145016
2020-06-18,AAPL,85.13871002197266,0.0003983914809486677
2020-06-19,AAPL,84.65216827392578,-0.005714694854095259
2020-06-22,AAPL,86.86700439453125,0.02616396207877969
2020-06-23,AAPL,88.72115325927734,0.021344685219314652
2020-06-24,AAPL,87.15503692626953,-0.01765211875042938
2020-06-25,AAPL,88.31207275390625,0.013275604812324593
2020-06-26,AAPL,85.59860229492188,-0.030725928792837087
2020-06-29,AAPL,87.57140350341797,0.023047119410886996
2020-06-30,AAPL,88.30237579345703,0.008347157414355433
2020-07-01,AAPL,88.13538360595703,-0.0018911403685287764
2020-07-02,AAPL,88.13538360595703,0.0
2020-07-06,AAPL,90.49299621582031,0.026749899000881205
2020-07-07,AAPL,90.21223449707031,-0.00310257954196147
2020-07-08,AAPL,92.31327819824219,0.02329000842164164
2020-07-09,AAPL,92.71023559570312,0.004300111589672584
2020-07-10,AAPL,92.87240600585938,0.0017492179705318467
2020-07-13,AAPL,92.44398498535156,-0.004613006585409085
2020-07-14,AAPL,93.97378540039062,0.016548404044692155
2020-07-15,AAPL,94.62007141113281,0.0068773010259040035
2020-07-16,AAPL,93.45577239990234,-0.012304989775070885
2020-07-17,AAPL,93.26697540283203,-0.0020201748080626025
2020-07-20,AAPL,95.23246002197266,0.021073746743168753
2020-07-21,AAPL,93.91812133789062,-0.013801372806906187
2020-07-22,AAPL,94.18194580078125,0.0028090900790216367
2020-07-23,AAPL,89.8951187133789,-0.04551644214773465
2020-07-24,AAPL,89.67242431640625,-0.0024772690682204335
2020-07-27,AAPL,91.79768371582031,0.02370025585474478
2020-07-28,AAPL,90.28966522216797,-0.016427631206041515
2020-07-29,AAPL,92.0203857421875,0.01916853402613583
2020-07-30,AAPL,93.13385772705078,0.01210027512797951
2020-07-31,AAPL,102.8839111328125,0.10468860244505707
2020-08-03,AAPL,105.47632598876953,0.02519747575119391
2020-08-04,AAPL,106.18070220947266,0.006678050397566304
2020-08-05,AAPL,106.56558227539062,0.003624764744526443
2020-08-06,AAPL,110.28357696533203,0.034889263592941644
2020-08-07,AAPL,107.77619171142578,-0.02273579913620738
2020-08-10,AAPL,109.34269714355469,0.014534800378948942
2020-08-11,AAPL,106.09085845947266,-0.029739879928265656
2020-08-12,AAPL,109.61670684814453,0.03323423374897816
2020-08-13,AAPL,111.55667114257812,0.017697706400914726
2020-08-14,AAPL,111.4572525024414,-0.0008911940372410276
2020-08-17,AAPL,111.16625213623047,-0.0026108697251850943
2020-08-18,AAPL,112.09257507324219,0.008332771135223238
2020-08-19,AAPL,112.23323059082031,0.0012548156511367203
2020-08-20,AAPL,114.7236557006836,0.02218973023188542
2020-08-21,AAPL,120.63562774658203,0.051532284338313694
2020-08-24,AAPL,122.07845306396484,0.01196019239369095
2020-08-25,AAPL,121.07694244384766,-0.008203827907226402
2020-08-26,AAPL,122.72348022460938,0.013599102748447223
2020-08-27,AAPL,121.25637817382812,-0.011954534275724127
2020-08-28,AAPL,121.05998992919922,-0.0016196116656839177
2020-08-31,AAPL,125.1653823852539,0.03391205020300836
2020-09-01,AAPL,130.15109252929688,0.03983297976669897
2020-09-02,AAPL,127.45450592041016,-0.020718893376017733
2020-09-03,AAPL,117.25043487548828,-0.08006049665512716
2020-09-04,AAPL,117.3280029296875,0.0006615587761493735
2020-09-08,AAPL,109.43241119384766,-0.06729503220617783
2020-09-09,AAPL,113.79730224609375,0.03988663874466014
2020-09-10,AAPL,110.08232116699219,-0.03264559884792073
2020-09-11,AAPL,108.63704681396484,-0.01312903232513507
2020-09-14,AAPL,111.8961410522461,0.029999841986336984
2020-09-15,AAPL,112.07074737548828,0.0015604320363529212
2020-09-16,AAPL,108.76313018798828,-0.029513653339153456
2020-09-17,AAPL,107.02688598632812,-0.015963536528042166
2020-09-18,AAPL,103.6319808959961,-0.03172011461461843
2020-09-21,AAPL,106.77471160888672,0.030325877067279405
2020-09-22,AAPL,108.45275115966797,0.015715702018731514
2020-09-23,AAPL,103.9035873413086,-0.04194604350480635
2020-09-24,AAPL,104.97053527832031,0.010268634262905252
2020-09-25,AAPL,108.90866088867188,0.03751648593493373
2020-09-28,AAPL,111.50817108154297,0.023868718719518123
2020-09-29,AAPL,110.6642837524414,-0.007567941621824725
2020-09-30,AAPL,112.33263397216797,0.015075778409759488
2020-10-01,AAPL,113.28323364257812,0.008462364290733992
2020-10-02,AAPL,109.62642669677734,-0.03228021330445452
2020-10-05,AAPL,113.00193786621094,0.030791035256217292
2020-10-06,AAPL,109.76220703125,-0.02866969271621367
2020-10-07,AAPL,111.62458801269531,0.016967415577887168
2020-10-08,AAPL,111.51785278320312,-0.0009561981942549647
2020-10-09,AAPL,113.45781707763672,0.01739599755570076
2020-10-12,AAPL,120.66470336914062,0.06352040324001984
2020-10-13,AAPL,117.46382141113281,-0.026527077667572674
2020-10-14,AAPL,117.55110168457031,0.000743039621808439
2020-10-15,AAPL,117.08551025390625,-0.003960757695945727
2020-10-16,AAPL,115.44624328613281,-0.014000596352346184
2020-10-19,AAPL,112.49755096435547,-0.025541691421426593
2020-10-20,AAPL,113.9815902709961,0.013191747677341326
2020-10-21,AAPL,113.36080932617188,-0.005446326405415869
2020-10-22,AAPL,112.27445220947266,-0.009583180670256652
2020-10-23,AAPL,111.58576202392578,-0.00613398838287782
2020-10-26,AAPL,111.59547424316406,8.703815847210805e-05
2020-10-27,AAPL,113.0988998413086,0.013472101878151399
2020-10-28,AAPL,107.86106872558594,-0.04631195460850601
2020-10-29,AAPL,111.85737609863281,0.03705050784555142
2020-10-30,AAPL,105.59133911132812,-0.05601809380705891
2020-11-02,AAPL,105.50403594970703,-0.0008268022960581378
2020-11-03,AAPL,107.1238784790039,0.015353370273617273
2020-11-04,AAPL,111.49847412109375,0.04083679291865128
2020-11-05,AAPL,115.45597076416016,0.035493729167704435
2020-11-06,AAPL,115.32478332519531,-0.0011362551290899914
2020-11-09,AAPL,113.02198028564453,-0.019967980629604032
2020-11-10,AAPL,112.68191528320312,-0.003008839533530927
2020-11-11,AAPL,116.10211181640625,0.030352665950051927
2020-11-12,AAPL,115.83004760742188,-0.002343318349063206
2020-11-13,AAPL,115.87863159179688,0.00041944197881771395
2020-11-16,AAPL,116.88915252685547,0.00872051146253039
2020-11-17,AAPL,116.00494384765625,-0.00756450585948143
2020-11-18,AAPL,114.68352508544922,-0.01139105557382436
2020-11-19,AAPL,115.27621459960938,0.005168044091063306
2020-11-20,AAPL,114.01306915283203,-0.010957554870834718
2020-11-23,AAPL,110.62203216552734,-0.029742528751322994
2020-11-24,AAPL,111.90460205078125,0.011594163116934508
2020-11-25,AAPL,112.7402114868164,0.007467158818508235
2020-11-27,AAPL,113.28433990478516,0.004826391673323993
2020-11-30,AAPL,115.67460632324219,0.02109970734230382
2020-12-01,AAPL,119.24053955078125,0.03082727783463879
2020-12-02,AAPL,119.59032440185547,0.0029334390165625113
2020-12-03,AAPL,119.45426940917969,-0.001137675588357756
2020-12-04,AAPL,118.78385925292969,-0.0056122745513060845
2020-12-07,AAPL,120.24132537841797,0.012269900428010683
2020-12-08,AAPL,120.85346221923828,0.005090902307453904
2020-12-09,AAPL,118.32717895507812,-0.02090368962353162
2020-12-10,AAPL,119.74578857421875,0.011988873829901658
2020-12-11,AAPL,118.93932342529297,-0.006734810121743262
2020-12-14,AAPL,118.32717895507812,-0.005146695412298508
2020-12-15,AAPL,124.25421905517578,0.050090267953973644
2020-12-16,AAPL,124.18621063232422,-0.0005473329064292765
2020-12-17,AAPL,125.0510025024414,0.006963670650017351
2020-12-18,AAPL,123.06881713867188,-0.015851015378551936
2020-12-21,AAPL,124.59430694580078,0.01239542105462843
2020-12-22,AAPL,128.14083862304688,0.028464636661038156
2020-12-23,AAPL,127.2469253540039,-0.006976021685581424
2020-12-24,AAPL,128.228271484375,0.007712140215891061
2020-12-28,AAPL,132.81443786621094,0.03576564145134542
2020-12-29,AAPL,131.04608154296875,-0.013314488632806043
2020-12-30,AAPL,129.9286346435547,-0.008527129436126324
2020-12-31,AAPL,128.92784118652344,-0.007702639681982482
2021-01-04,AAPL,125.74085235595703,-0.024719166948244387
2021-01-05,AAPL,127.29548645019531,0.012363794781963922
2021-01-06,AAPL,123.0105209350586,-0.03366156675801091
2021-01-07,AAPL,127.20801544189453,0.034123052848885393
2021-01-08,AAPL,128.3060302734375,0.00863164815305617
2021-01-11,AAPL,125.32307434082031,-0.023248758661304603
2021-01-12,AAPL,125.14814758300781,-0.0013958064684622684
2021-01-13,AAPL,127.17887115478516,0.016226557172413614
2021-01-14,AAPL,125.25502014160156,-0.015127127609445012
2021-01-15,AAPL,123.53520965576172,-0.013730471512403919
2021-01-19,AAPL,124.20564270019531,0.005427060400850836
2021-01-20,AAPL,128.28660583496094,0.032856503505369394
2021-01-21,AAPL,132.98934936523438,0.03665810237682532
2021-01-22,AAPL,135.12696838378906,0.016073610621885503
2021-01-25,AAPL,138.8677978515625,0.027683811103855316
2021-01-26,AAPL,139.10101318359375,0.0016794054175219841
2021-01-27,AAPL,138.0321502685547,-0.0076840771362917115
2021-01-28,AAPL,133.20310974121094,-0.03498489676461891
2021-01-29,AAPL,128.2185516357422,-0.03742073375879007
2021-02-01,AAPL,130.3367462158203,0.01652018801534849
2021-02-02,AAPL,131.1626434326172,0.006336641359983686
2021-02-03,AAPL,130.14244079589844,-0.007778149403056656
2021-02-04,AAPL,133.49459838867188,0.02575760506928404
2021-02-05,AAPL,133.0810089111328,-0.003098173877679189
2021-02-08,AAPL,133.2270050048828,0.0010970467908573145
2021-02-09,AAPL,132.35118103027344,-0.006573922265814436
2021-02-10,AAPL,131.7478790283203,-0.004558342413394367
2021-02-11,AAPL,131.494873046875,-0.0019203799204307037
2021-02-12,AAPL,131.72840881347656,0.0017760066319720824
2021-02-16,AAPL,129.60708618164062,-0.01610375962894739
2021-02-17,AAPL,127.32028198242188,-0.017644129395933295
2021-02-18,AAPL,126.22069549560547,-0.00863638117741694
2021-02-19,AAPL,126.37635803222656,0.0012332568443700342
2021-02-22,AAPL,122.61048126220703,-0.02979890248980921
2021-02-23,AAPL,122.47422790527344,-0.0011112700605278025
2021-02-24,AAPL,121.97796630859375,-0.004051967545886659
2021-02-25,AAPL,117.7352523803711,-0.03478262555623324
2021-02-26,AAPL,117.99799346923828,0.0022316263273325365
2021-03-01,AAPL,124.35232543945312,0.053851186646418636
2021-03-02,AAPL,121.75414276123047,-0.020893720073515643
2021-03-03,AAPL,118.77648162841797,-0.0244563434580779
2021-03-04,AAPL,116.89840698242188,-0.015811839349405
2021-03-05,AAPL,118.15369415283203,0.010738274394097802
2021-03-08,AAPL,113.22981262207031,-0.04167353010895003
2021-03-09,AAPL,117.83255767822266,0.04064958644341332
2021-03-10,AAPL,116.7524185180664,-0.00916672931012752
2021-03-11,AAPL,118.67915344238281,0.016502741003333155
2021-03-12,AAPL,117.774169921875,-0.007625463228023155
2021-03-15,AAPL,120.65454864501953,0.024456794941159155
2021-03-16,AAPL,122.1920394897461,0.01274291654971127
